quarter,industry1,industry2,recruitment_rate,resignation_rate
1990-Q1,manufacturing,"food, beverages and tobacco",3.6,3.2
1990-Q1,manufacturing,textile and wearing apparel,3.6,4.5
1990-Q1,manufacturing,paper products and publishing,3.9,3.5
1990-Q1,manufacturing,petroleum and chemical products,2.9,2.5
1990-Q1,manufacturing,rubber and plastic products,5.2,5.3
1990-Q1,manufacturing,fabricated metal products,5.5,5.5
1990-Q1,manufacturing,machinery and equipment,5.8,5.6
1990-Q1,manufacturing,electrical products,4,5.1
1990-Q1,manufacturing,electronic products,5.5,5.6
1990-Q1,manufacturing,medical and precision instruments,4.2,4.7
1990-Q1,manufacturing,transport equipment,4.2,3.7
1990-Q1,manufacturing,other manufacturing industries,4.6,4.8
1990-Q1,construction,construction,3,3.7
1990-Q1,services,wholesale and retail trade,5.1,5.8
1990-Q1,services,hotels and restaurants,8.2,8.1
1990-Q1,services,"transport, storage and communications",3.2,2.3
1990-Q1,services,financial intermediation,3.6,2.9
1990-Q1,services,business and real estate services,4.7,3.9
1990-Q1,services,"community, social and personal services",6,5.5
1990-Q1,others,others,4.9,4.6
1990-Q2,manufacturing,"food, beverages and tobacco",4.3,3.3
1990-Q2,manufacturing,textile and wearing apparel,3.7,4.3
1990-Q2,manufacturing,paper products and publishing,4.5,3.6
1990-Q2,manufacturing,petroleum and chemical products,2.8,2.2
1990-Q2,manufacturing,rubber and plastic products,5.6,4.9
1990-Q2,manufacturing,fabricated metal products,4.8,4.7
1990-Q2,manufacturing,machinery and equipment,4.5,4.6
1990-Q2,manufacturing,electrical products,5.7,5
1990-Q2,manufacturing,electronic products,6.3,5
1990-Q2,manufacturing,medical and precision instruments,3.8,3.7
1990-Q2,manufacturing,transport equipment,5.2,3.1
1990-Q2,manufacturing,other manufacturing industries,4.8,5
1990-Q2,construction,construction,3.6,3.8
1990-Q2,services,wholesale and retail trade,5.7,5.2
1990-Q2,services,hotels and restaurants,8.5,7.4
1990-Q2,services,"transport, storage and communications",3.3,2.3
1990-Q2,services,financial intermediation,4.1,2.9
1990-Q2,services,business and real estate services,5.1,3.7
1990-Q2,services,"community, social and personal services",5.8,5
1990-Q2,others,others,3.8,3.9
1990-Q3,manufacturing,"food, beverages and tobacco",3.6,3.5
1990-Q3,manufacturing,textile and wearing apparel,3,3.5
1990-Q3,manufacturing,paper products and publishing,3.4,3.1
1990-Q3,manufacturing,petroleum and chemical products,2.4,1.9
1990-Q3,manufacturing,rubber and plastic products,4.9,3.9
1990-Q3,manufacturing,fabricated metal products,4.3,3.7
1990-Q3,manufacturing,machinery and equipment,4.3,3.8
1990-Q3,manufacturing,electrical products,3.8,3.7
1990-Q3,manufacturing,electronic products,5.2,4.3
