quarter,industry1,industry2,industry3,recruitment_rate,resignation_rate
1990-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.6,3.2
1990-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,3.6,4.5
1990-Q1,manufacturing,paper products and publishing,paper products and publishing,3.9,3.5
1990-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,2.9,2.5
1990-Q1,manufacturing,rubber and plastic products,rubber and plastic products,5.2,5.3
1990-Q1,manufacturing,fabricated metal products,fabricated metal products,5.5,5.5
1990-Q1,manufacturing,machinery and equipment,machinery and equipment,5.8,5.6
1990-Q1,manufacturing,electrical products,electrical products,4,5.1
1990-Q1,manufacturing,electronic products,electronic products,5.5,5.6
1990-Q1,manufacturing,medical and precision instruments,medical and precision instruments,4.2,4.7
1990-Q1,manufacturing,transport equipment,transport equipment,4.2,3.7
1990-Q1,manufacturing,other manufacturing industries,other manufacturing industries,4.6,4.8
1990-Q1,construction,construction,construction,3,3.7
1990-Q1,services,wholesale and retail trade,wholesale trade,3.5,3.1
1990-Q1,services,wholesale and retail trade,retail trade,7.5,10.1
1990-Q1,services,hotels and restaurants,hotels,6.7,6
1990-Q1,services,hotels and restaurants,restaurants,10.3,10.9
1990-Q1,services,"transport, storage and communications","transport, storage and communications",3.2,2.3
1990-Q1,services,financial intermediation,financial institutions,3.6,2.8
1990-Q1,services,financial intermediation,insurance and pension funding,3.3,3
1990-Q1,services,business and real estate services,business and real estate services,4.7,3.9
1990-Q1,services,"community, social and personal services","community, social and personal services",6,5.5
1990-Q1,others,others,others,4.9,4.6
1990-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.3,3.3
1990-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,3.7,4.3
1990-Q2,manufacturing,paper products and publishing,paper products and publishing,4.5,3.6
1990-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,2.8,2.2
1990-Q2,manufacturing,rubber and plastic products,rubber and plastic products,5.6,4.9
1990-Q2,manufacturing,fabricated metal products,fabricated metal products,4.8,4.7
1990-Q2,manufacturing,machinery and equipment,machinery and equipment,4.5,4.6
1990-Q2,manufacturing,electrical products,electrical products,5.7,5
1990-Q2,manufacturing,electronic products,electronic products,6.3,5
1990-Q2,manufacturing,medical and precision instruments,medical and precision instruments,3.8,3.7
1990-Q2,manufacturing,transport equipment,transport equipment,5.2,3.1
